[1/11/23, 3:41:35 PM] Gen: ‎Los mensajes y las llamadas están cifrados de extremo a extremo. Nadie fuera de este chat, ni siquiera WhatsApp, puede leerlos ni escucharlos.
[1/11/23, 3:41:35 PM] Venegas: ‎Venegas creó este grupo.PM]
[10/11/23, 1:33:54 PM] Gen: ‎Venegas te añadió.
[10/11/23, 1:45:02 PM] Ashley Padilla: ‎Se eliminó este mensaje.
[10/11/23, 7:48:36 PM] Venegas: Qué vieron en Interés? Estuvo muy feo?
[10/11/23, 7:56:09 PM] Luis Fer Amey: Diay terminamos de ver precios y lo relacionó con la segunda derivada pero ya pues
[10/11/23, 7:56:29 PM] Ashley Padilla: Hoy terminamos toda la materia del semestre ya
[10/11/23, 7:56:39 PM] Sebas: Tiene que calcular los mínimos locales y usar matriz
[10/11/23, 7:56:57 PM] Javier Hernández: A pura hessiana orlada saco eso
[10/11/23, 7:57:03 PM] Javier Hernández: Ez
[10/11/23, 7:57:30 PM] Javier Hernández: Sebas lo hace con menores dominantes
[11/11/23, 1:39:07 PM] ~ Eyeri: ‎~ Eyeri se unió usando el enlace de invitación de este grupo
‎[14/11/23, 1:46:04 PM] Andrés Montero: ‎imagen omitida
‎[14/11/23, 2:28:13 PM] Venegas: ‎sticker omitido
[14/11/23, 2:28:23 PM] Venegas: Que clase  más despiche
[14/11/23, 2:28:37 PM] Ashley Padilla: Por qué?
‎[14/11/23, 2:28:50 PM] Venegas: ‎sticker omitido
[14/11/23, 2:30:36 PM] Venegas: Jugamos mierda monopolística, se acuerda?
[14/11/23, 2:30:40 PM] Venegas: Vieras que mostro😂😂😂😂
[14/11/23, 2:30:50 PM] Venegas: @50687122913 mande la foto mi rey
[14/11/23, 2:31:03 PM] Ashley Padilla: Que buenooooo
[14/11/23, 2:31:08 PM] Ashley Padilla: El profe jugó? Jajajaj
[14/11/23, 2:31:28 PM] Ashley Padilla: Como que Juan Pablo si fue a clases? Que es esa traición
[14/11/23, 2:33:29 PM] Venegas: Gerard le dijo, pero dijo que no jajaja
[14/11/23, 2:38:07 PM] ~ Juan Pablo M.: me obligaron fue
‎[14/11/23, 2:38:20 PM] ~ Juan Pablo M.: ‎imagen omitida
‎[14/11/23, 2:38:55 PM] Venegas: ‎sticker omitido
[14/11/23, 2:39:10 PM] Gerard: Nada de obligado, una buena comida, buena conversación y buena compañía y se dejó convencer 😉
[14/11/23, 2:39:22 PM] Ashley Padilla: 😳
[14/11/23, 2:39:28 PM] ~ Juan Pablo M.: 😳
[14/11/23, 2:39:28 PM] Ashley Padilla: @50687122913 tan fácil te vendes?
[14/11/23, 2:40:33 PM] Venegas: 😳
‎[14/11/23, 2:40:41 PM] Venegas: ‎sticker omitido
[14/11/23, 2:40:44 PM] Javier Hernández: Una manoseada y se dejó
[14/11/23, 2:40:44 PM] ~ Juan Pablo M.: es que se comió bien
[14/11/23, 2:40:45 PM] ~ Juan Pablo M.: eh
[14/11/23, 2:40:58 PM] Javier Hernández: Ahí está
[14/11/23, 2:40:59 PM] Javier Hernández: Jajaja
[14/11/23, 2:41:05 PM] Ashley Padilla: Diay si
[14/11/23, 2:41:12 PM] Ashley Padilla: Nada que decir al respecto
[14/11/23, 2:41:15 PM] Venegas: Celos?
[14/11/23, 2:41:30 PM] Venegas: 🤨🤨🤨🤨
[14/11/23, 2:41:41 PM] Ashley Padilla: Traición que es peor 😞 habíamos quedado en no ir eh jajajaj
[14/11/23, 2:41:46 PM] Ashley Padilla: Yo bien dormida
[14/11/23, 2:43:32 PM] Javier Hernández: Que irresponsable
[14/11/23, 2:46:09 PM] Venegas: Parece @50687028993 ya
‎[14/11/23, 2:46:25 PM] Venegas: ‎sticker omitido
[16/11/23, 8:31:36 AM] Venegas: Ya salieron de herramientas?
[16/11/23, 8:31:59 AM] Ashley Padilla: Si
[16/11/23, 8:32:33 AM] Venegas: Onde andan?
[16/11/23, 8:32:44 AM] Venegas: Esque estoy en F1 entonces para irme con ustedes
[16/11/23, 8:32:46 AM] Venegas: A f2
[16/11/23, 8:33:44 AM] Ashley Padilla: Mentira no se
[16/11/23, 8:33:46 AM] Ashley Padilla: Yo no fui
‎[16/11/23, 8:34:00 AM] Venegas: ‎sticker omitido
[16/11/23, 8:34:15 AM] Sebas: Venga a micro
[16/11/23, 8:34:28 AM] Venegas: Es en Aulas?
[16/11/23, 8:34:36 AM] Andrés Montero: Si ya salimos
[16/11/23, 8:34:40 AM] Sebas: Microbiología mongolo
[16/11/23, 8:34:42 AM] Venegas: Oka
[16/11/23, 8:34:49 AM] Venegas: Di mamapichas
[16/11/23, 8:34:52 AM] Venegas: Habla bien pues
[16/11/23, 8:34:53 AM] Venegas: Ya llego
[16/11/23, 8:34:58 AM] Sebas: Hp estupido
[16/11/23, 3:01:07 PM] Venegas: Suerte en Macro
[16/11/23, 3:01:09 PM] Venegas: Nos avisan
[16/11/23, 3:01:15 PM] Venegas: Qué viene
[16/11/23, 3:01:19 PM] Venegas: Fijo nos viene lo opuesto
[16/11/23, 3:02:12 PM] Venegas: Suerte!
@50663600334 @50687028993 @50685670529 @50684441770 @50684091091 @50686093714 @50670768120 @
[16/11/23, 5:41:18 PM] Sofía Bocker: Igual🫶
[16/11/23, 7:03:30 PM] Venegas: Una pregunta, los precios a ustedes
[16/11/23, 7:03:34 PM] Venegas: Les bajaron o subieron?
[16/11/23, 7:03:38 PM] Venegas: En el modelo
[16/11/23, 7:03:40 PM] Venegas: General
[16/11/23, 7:03:41 PM] Venegas: ?
[16/11/23, 7:03:41 PM] Javier Hernández: Subían entendí
[16/11/23, 7:03:50 PM] Javier Hernández: Me embarcaste 🥲
[16/11/23, 7:03:54 PM] Venegas: Es que la respuesta del año pasado dicen que bajan
‎[16/11/23, 7:03:56 PM] Venegas: ‎sticker omitido
[16/11/23, 7:04:01 PM] Venegas: Pero no está revisado
[16/11/23, 7:04:05 PM] Javier Hernández: 😮
[16/11/23, 7:04:06 PM] Venegas: Entonces no le creo
‎[16/11/23, 7:04:10 PM] Venegas: ‎sticker omitido
[17/11/23, 9:54:08 AM] Felix: ‎~ Alejandro Brenes añadió a Felix.
[17/11/23, 9:54:23 AM] ~ Dominick Rodríguez Trejos: ‎Andrés Montero añadió a ~ Dominick Rodríguez Trejos.
[17/11/23, 9:47:56 AM] Anthony: Llamen a Dios con esa tarea de 351
[17/11/23, 9:48:11 AM] Venegas: Eso mismo iba a decir
[17/11/23, 9:48:29 AM] Gerard: Tan fea está?
[17/11/23, 9:53:19 AM] Venegas: Yo la vi fea
‎[17/11/23, 10:13:05 AM] Javier Hernández: ‎sticker omitido
[19/11/23, 3:10:19 PM] Venegas: Oiga @50684091091 Al final sauma
[19/11/23, 3:10:24 PM] Venegas: Aquel día le dijo algo más
[19/11/23, 3:10:29 PM] Venegas: La papelista esa
[19/11/23, 3:15:22 PM] Fabian Brenes: no solo se me cago y ya xd
[19/11/23, 3:15:36 PM] Fabian Brenes: mañana veo si me ve con cara de asco xd
[19/11/23, 3:15:39 PM] Venegas: Malparida vieja loca
[19/11/23, 3:16:05 PM] Venegas: No es como si hubiese hecho diferencia a 3 mintos del quizx
[19/11/23, 3:16:17 PM] Venegas: Que mal me cayó rajado
[19/11/23, 3:17:38 PM] Venegas: Lo peor es que ya todo el grupo de Slon sabía, no es como que por su culpa eso hubiese pasado
[19/11/23, 3:17:40 PM] Venegas: Hpta sal
[19/11/23, 3:18:00 PM] Venegas: Vieja incogible/insoportable/invivible
[19/11/23, 3:37:48 PM] Luis Fer Amey: Y ud que no la tiene de profe sapa
[19/11/23, 3:38:06 PM] Luis Fer Amey: uy si los exámenes
[19/11/23, 3:38:32 PM] Venegas: ???
[19/11/23, 3:38:34 PM] Venegas: Cómo?
[19/11/23, 3:38:41 PM] Luis Fer Amey: Bueno si
[19/11/23, 3:38:43 PM] Venegas: Mae supuestamiente la mae da los resultados este lunes
[19/11/23, 3:38:48 PM] Venegas: Bueno, al menos del grupo de ella
[19/11/23, 3:38:53 PM] Luis Fer Amey: Pero a mi ya me tiene harto sauma en general
[19/11/23, 3:38:57 PM] Luis Fer Amey: sisi por eso
[19/11/23, 3:39:04 PM] Luis Fer Amey: hay que ver si se nos caga en general
[19/11/23, 3:39:09 PM] Venegas: Como tutora es muy buena, la mae si enseñe bien
[19/11/23, 3:39:15 PM] Venegas: Pero tiene un tonito pasivo-agresivo
[19/11/23, 3:39:20 PM] Venegas: Criticona
[19/11/23, 3:39:27 PM] Venegas: y trata a los demás como imbéciles
[19/11/23, 3:39:44 PM] Luis Fer Amey: mae mejor no nos pongamos a hablar de eso jajajaj porque aja
[19/11/23, 3:39:48 PM] Venegas: Jajaja
[19/11/23, 3:39:50 PM] Luis Fer Amey: Yo suelto
[19/11/23, 3:39:53 PM] Luis Fer Amey: y no quiero
[19/11/23, 3:39:53 PM] Venegas: Hay sapos en el grupo?
[19/11/23, 3:39:59 PM] Venegas: Tírele
[19/11/23, 3:40:03 PM] Luis Fer Amey: no
[19/11/23, 3:40:09 PM] Venegas: Si algo sale, ya sabemos a quiénes quebrar
‎[19/11/23, 3:40:17 PM] Venegas: ‎sticker omitido
[19/11/23, 3:40:19 PM] Luis Fer Amey: hay un proyecto de interes que hacer
[19/11/23, 3:40:27 PM] Venegas: Ya lo tengo hecho
‎[19/11/23, 3:40:29 PM] Venegas: ‎sticker omitido
‎[19/11/23, 3:40:31 PM] Venegas: ‎sticker omitido
‎[19/11/23, 3:42:35 PM] Marco Guardia: ‎imagen omitida
[19/11/23, 3:44:06 PM] Venegas: 😂😂😂😂
[20/11/23, 2:43:38 PM] Corella: Éxitos en las exposiciones!
[20/11/23, 2:47:33 PM] Luis Fer Amey: Gracias
[20/11/23, 7:02:53 PM] Andrés Montero: Alguno sabe algo de la clase de teoría de mañana? No han dicho si es virtual o presencial?
‎[20/11/23, 7:03:02 PM] Andrés Montero: ‎sticker omitido
[20/11/23, 7:03:25 PM] Venegas: Pregunte
[20/11/23, 7:03:28 PM] Venegas: El profe me odia
[20/11/23, 7:03:32 PM] Venegas: O que pregunte @50685670529
[20/11/23, 7:03:35 PM] Ashley Padilla: Jajajajaj
[20/11/23, 7:03:35 PM] Venegas: Que q él lo maman
[20/11/23, 7:04:27 PM] Andrés Montero: Al chile
[24/11/23, 8:40:31 AM] Venegas: No entendí, si sobra tiempo vemos práctica?
[24/11/23, 8:40:32 AM] Venegas: XDDD
[24/11/23, 8:48:13 AM] Luis Fer Amey: no
[24/11/23, 8:48:17 AM] Luis Fer Amey: el profe no quiere hacer
[24/11/23, 8:48:32 AM] Luis Fer Amey: es lo que entendí yo
[24/11/23, 8:50:28 AM] Venegas: X2
‎[24/11/23, 3:44:51 PM] Venegas: ‎imagen omitida
[26/11/23, 2:37:24 PM] Corella: Uy gente, solo como recordatorio
Acuérdesen los de herramientas de la tarea forro que es para el 30 
Que eso es algo fácil de olvidar
[26/11/23, 2:38:06 PM] Corella: Ah mira, creo que es para el 30 pero para las 00:00 entonces serían para el 29 creo
‎[26/11/23, 6:10:00 PM] Venegas: ‎imagen omitida
[26/11/23, 6:10:03 PM] Venegas: Que asco JAJAJA
‎[26/11/23, 6:40:23 PM] Sofía Bocker: ‎sticker omitido
‎[27/11/23, 3:14:54 PM] Adrian: ‎imagen omitida
[27/11/23, 4:37:23 PM] Venegas: @50670768120 @50684441770
[27/11/23, 4:37:28 PM] Venegas: Se eximieron en Macro
[27/11/23, 4:37:30 PM] Venegas: Verdad?
[27/11/23, 4:38:27 PM] Venegas: Uuuf y @50684091091
[27/11/23, 4:38:30 PM] Venegas: Tambié
[27/11/23, 4:38:35 PM] Venegas: Felicidades guapxs
‎[27/11/23, 4:44:08 PM] Felix: ‎sticker omitido
‎[27/11/23, 5:07:15 PM] Marco Guardia: ‎sticker omitido
[27/11/23, 5:18:28 PM] Luis Fer Amey: ya subieron el excel con las notas para que lo revisen si no lo han hecho
[27/11/23, 5:18:40 PM] Luis Fer Amey: y felicidades a los 3
[27/11/23, 5:21:03 PM] Luis Fer Amey: son el orgullo de todos que sufrimos el curso
[27/11/23, 5:22:44 PM] Venegas: Confirmo mucho
[27/11/23, 5:22:44 PM] Venegas: Pros
[27/11/23, 5:22:44 PM] Venegas: Saicos
‎[27/11/23, 5:22:45 PM] Venegas: ‎sticker omitido
[27/11/23, 7:00:31 PM] Ashley Padilla: ‎Cambió tu código de seguridad con Ashley Padilla.
‎[27/11/23, 8:10:10 PM] Gustavo Amador: ‎imagen omitida
[27/11/23, 8:10:47 PM] Gustavo Amador: Promete
[27/11/23, 8:16:38 PM] Ashley Padilla: Siiii
[27/11/23, 8:17:38 PM] Venegas: S8
[27/11/23, 8:17:41 PM] Venegas: Virtual prome más
[27/11/23, 8:18:18 PM] Ashley Padilla: Presencial
[27/11/23, 8:18:32 PM] Ashley Padilla: Ese día tenemos clases de proba y salimos a las 12
[27/11/23, 8:18:53 PM] Venegas: Sí
[27/11/23, 8:18:59 PM] Venegas: Mae 10/10 un Ph.d es Actuariales
[27/11/23, 8:19:01 PM] Venegas: Que mostros
[27/11/23, 8:19:04 PM] Venegas: 🥹🥹🥹🥹
[27/11/23, 8:19:08 PM] Venegas: Ojalá llegar a ese level
[27/11/23, 8:31:59 PM] Javier Hernández: Una pregunta, para el proyecto de teoría todos hicieron presentación?
[27/11/23, 8:32:25 PM] Luis Fer Amey: al menos nuestro grupo si y el de corella también
[27/11/23, 8:32:49 PM] Luis Fer Amey: digamos no es necesario si se la juegan con explicar todo en el aire pero di es una presentación
[27/11/23, 8:32:54 PM] Javier Hernández: Ok ok, mejor hacer una si
[27/11/23, 8:34:34 PM] Luis Fer Amey: igual pueden hacer una breve pero le gana puntos a la visualización
[27/11/23, 9:14:16 PM] Venegas: Yo la voy hacer
[27/11/23, 9:14:21 PM] Venegas: Siento que es muy feo exponer sin ello
[28/11/23, 5:34:43 AM] Venegas: Chiquillos dos cosas
[28/11/23, 5:34:50 AM] Venegas: Suerte a los de Micro!!!
[28/11/23, 5:34:54 AM] Venegas: Éxitos!
[28/11/23, 5:35:07 AM] Venegas: Y segundo, a alguno no le han revisado la tarea?
[28/11/23, 10:21:00 AM] Andrés Montero: Hola
[28/11/23, 10:21:08 AM] Andrés Montero: Cuantas personas exponen en teoría? Dos por grupo?
‎[28/11/23, 10:21:19 AM] Andrés Montero: ‎sticker omitido
[28/11/23, 10:21:29 AM] Corella: La vez pasada fuimos todos
[28/11/23, 10:21:45 AM] Andrés Montero: Si si, pero por ahí dicen que son 2 por grupo
[28/11/23, 10:21:51 AM] Andrés Montero: Pero no c
[28/11/23, 10:21:57 AM] Corella: Ah ok ok
[28/11/23, 10:22:04 AM] Corella: Ni idea entonces
[28/11/23, 10:22:10 AM] Marco Guardia: Es como gusten 
El profe dejó 2 por grupo
‎[28/11/23, 10:22:23 AM] Andrés Montero: ‎sticker omitido
[28/11/23, 10:43:54 AM] Luis Fer Amey: Es porque di no éramos muchos exponiendo entonces nos dejó muchas cosas pero en teoría son 10 min por grupo y 2 exponiendo creo
[28/11/23, 10:43:59 AM] Luis Fer Amey: _creo_
[28/11/23, 10:44:34 AM] Marco Guardia: igual no va ser hacer las de maria jose de poner un cronometro
[28/11/23, 10:44:41 AM] Luis Fer Amey: Si no
[28/11/23, 10:44:45 AM] Luis Fer Amey: El profe todo chill
[28/11/23, 10:44:51 AM] Marco Guardia: hacer*
[29/11/23, 1:29:35 AM] Sebas: Una consulta, alguien tiene el resultado de la 2 del quiz de 351?
‎[29/11/23, 1:29:38 AM] Sebas: ‎sticker omitido
‎[29/11/23, 6:02:56 PM] Ashley Padilla: ‎imagen omitida
[30/11/23, 7:46:15 AM] Javier Hernández: Éxitos en el examen!! 🫶🏽
‎[30/11/23, 7:46:18 AM] Javier Hernández: ‎sticker omitido
[30/11/23, 7:51:50 AM] Corella: Muchas gracias pa'
[30/11/23, 7:52:24 AM] Venegas: Tuanis
[30/11/23, 8:10:40 AM] Ashley Padilla: Gracias Javi 🫶🏻
[1/12/23, 11:57:11 PM] Venegas: Cuándo creen que el profe de interés de la nota?
‎[1/12/23, 11:57:13 PM] Venegas: ‎sticker omitido
[2/12/23, 12:17:44 AM] Marco Guardia: la verdadera pregunta es 
Cuando piensa javier subir las  instrucciones de la bitácora que se entrega mañana 🤔
‎[2/12/23, 12:17:55 AM] Venegas: ‎sticker omitido
‎[2/12/23, 12:17:56 AM] Venegas: ‎sticker omitido
[2/12/23, 12:32:11 AM] Javier Hernández: Las va a dar después del examen porque él sabe que sino no llegamos jaja
