dia,hora,autor,mensaje,editado
2023-11-01,56495.0,Gen,"‎Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them.",False
2023-11-01,56495.0,Venegas,‎Venegas created this group.,False
2023-11-10,48834.0,Gen,‎Venegas added you.,False
2023-11-10,49502.0,Ashley Padilla,‎This message has been deleted.,False
2023-11-10,71316.0,Venegas,What did you see in Interest? Was he very ugly?,False
2023-11-10,71768.0,Luis Fer Amey,Day we finished looking at prices and he related it to the second derivative but now,False
2023-11-10,71789.0,Ashley Padilla,Today we finish all the material for the semester now,False
2023-11-10,71799.0,Sebas,You have to calculate local minima and use matrix,False
2023-11-10,71817.0,Javier Hernández,I get that with pure Hessian borders,False
2023-11-10,71823.0,Javier Hernández,ez,False
2023-11-10,71850.0,Javier Hernández,Sebas does it with dominant minors,False
2023-11-11,49147.0,~ Eyeri,‎~Eyeri joined using this group's invite link,False
2023-11-14,49564.0,Andrés Montero,‎image omitted,False
2023-11-14,52093.0,Venegas,‎sticker omitted,False
2023-11-14,52103.0,Venegas,What a rude class,False
2023-11-14,52117.0,Ashley Padilla,Because?,False
2023-11-14,52130.0,Venegas,‎sticker omitted,False
2023-11-14,52236.0,Venegas,"We played monopolistic shit, remember?",False
2023-11-14,52240.0,Venegas,You should have seen what I showed😂😂😂😂,False
2023-11-14,52250.0,Venegas,@50687122913 send the photo my king,False
2023-11-14,52263.0,Ashley Padilla,How good!,False
2023-11-14,52268.0,Ashley Padilla,Did the teacher play? Hahaha,False
2023-11-14,52288.0,Ashley Padilla,How did Juan Pablo go to class? What is that betrayal?,False
2023-11-14,52409.0,Venegas,"Gerard told him, but he said no hahaha",False
2023-11-14,52687.0,Juan Pablo M.,they forced me was,False
2023-11-14,52700.0,Juan Pablo M.,‎image omitted,False
2023-11-14,52735.0,Venegas,‎sticker omitted,False
2023-11-14,52750.0,Gerard,"Nothing obligatory, a good meal, good conversation and good company and he let himself be convinced 😉",False
2023-11-14,52762.0,Ashley Padilla,😳,False
2023-11-14,52768.0,Juan Pablo M.,😳,False
2023-11-14,52768.0,Ashley Padilla,@50687122913 you sell yourself so easily?,False
2023-11-14,52833.0,Venegas,😳,False
2023-11-14,52841.0,Venegas,‎sticker omitted,False
2023-11-14,52844.0,Javier Hernández,One grope and he left,False
2023-11-14,52844.0,Juan Pablo M.,is that he ate well,False
2023-11-14,52845.0,Juan Pablo M.,Hey,False
2023-11-14,52858.0,Javier Hernández,There is,False
2023-11-14,52859.0,Javier Hernández,Ha ha ha,False
